,symbol,numShares,date
0,NU,100.0,2008-02-25 00:00:00
1,GOOG,100.0,2008-02-26 00:00:00
2,ADSK,100.0,2008-02-27 00:00:00
3,CMS,100.0,2008-02-27 00:00:00
4,HSP,100.0,2008-02-27 00:00:00
5,NU,-100.0,2008-03-03 00:00:00
6,GOOG,-100.0,2008-03-04 00:00:00
7,ADSK,-100.0,2008-03-05 00:00:00
8,CMS,-100.0,2008-03-05 00:00:00
9,HSP,-100.0,2008-03-05 00:00:00
10,TDC,100.0,2008-04-01 00:00:00
11,BMC,100.0,2008-04-07 00:00:00
12,CTL,100.0,2008-04-08 00:00:00
13,FII,100.0,2008-04-08 00:00:00
14,HAR,100.0,2008-04-08 00:00:00
15,TDC,-100.0,2008-04-08 00:00:00
16,BMC,-100.0,2008-04-14 00:00:00
17,CTL,-100.0,2008-04-15 00:00:00
18,FII,-100.0,2008-04-15 00:00:00
19,HAR,-100.0,2008-04-15 00:00:00
20,MNST,100.0,2008-04-16 00:00:00
21,STX,100.0,2008-04-16 00:00:00
22,SWY,100.0,2008-04-16 00:00:00
23,BDX,100.0,2008-04-17 00:00:00
24,PG,100.0,2008-04-17 00:00:00
25,ISRG,100.0,2008-04-18 00:00:00
26,LLY,100.0,2008-04-21 00:00:00
27,PEP,100.0,2008-04-21 00:00:00
28,SHLD,100.0,2008-04-21 00:00:00
29,AGN,100.0,2008-04-22 00:00:00
30,CI,100.0,2008-04-22 00:00:00
31,CL,100.0,2008-04-22 00:00:00
32,LUV,100.0,2008-04-22 00:00:00
33,MAT,100.0,2008-04-22 00:00:00
34,NFLX,100.0,2008-04-22 00:00:00
35,PFE,100.0,2008-04-22 00:00:00
36,WIN,100.0,2008-04-22 00:00:00
37,XRX,100.0,2008-04-22 00:00:00
38,MNST,-100.0,2008-04-23 00:00:00
39,STX,-100.0,2008-04-23 00:00:00
40,SWY,-100.0,2008-04-23 00:00:00
41,BDX,-100.0,2008-04-24 00:00:00
42,CCE,100.0,2008-04-24 00:00:00
43,CMG,100.0,2008-04-24 00:00:00
44,NWL,100.0,2008-04-24 00:00:00
45,PG,-100.0,2008-04-24 00:00:00
46,SBUX,100.0,2008-04-24 00:00:00
